2026-04-28 06:45:12,152 [INFO] ============================================================
2026-04-28 06:45:12,153 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:45:12,176 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:45:12,176 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:45:12,176 [INFO] ============================================================
2026-04-28 06:49:56,508 [INFO] ============================================================
2026-04-28 06:49:56,509 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 06:49:56,635 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 06:49:56,635 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 06:49:56,686 [INFO] ============================================================
2026-04-28 11:08:49,616 [INFO] ============================================================
2026-04-28 11:08:49,635 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:08:49,636 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:08:49,636 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:08:49,637 [INFO] ============================================================
2026-04-28 11:12:03,280 [INFO] ============================================================
2026-04-28 11:12:03,310 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:12:03,310 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:12:03,310 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:12:03,311 [INFO] ============================================================
2026-04-28 11:17:22,748 [INFO] ============================================================
2026-04-28 11:17:22,749 [INFO] COMBINED SCRAPER — CRN 1 to 95,000
2026-04-28 11:17:22,749 [INFO] Range: 95,000 | Workers: 3 | ETA: 11.4h
2026-04-28 11:17:22,749 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 11:17:22,750 [INFO] ============================================================
2026-04-28 13:55:35,623 [INFO] [4.8%] Processed:4,600/95,000 | Valid:4,600 | Sealed:0 | Errors:0 | DB:4,600
2026-04-28 14:02:40,857 [INFO] [5.1%] Processed:4,800/95,000 | Valid:4,800 | Sealed:0 | Errors:0 | DB:4,800
2026-04-28 14:09:41,740 [INFO] [5.3%] Processed:5,000/95,000 | Valid:5,000 | Sealed:0 | Errors:0 | DB:5,000
2026-04-28 14:11:18,722 [INFO] [5.3%] Processed:5,050/95,000 | Valid:5,050 | Sealed:0 | Errors:0 | DB:5,050
2026-04-28 14:16:16,666 [INFO] [5.5%] Processed:5,200/95,000 | Valid:5,200 | Sealed:0 | Errors:0 | DB:5,200
2026-04-28 14:22:39,545 [INFO] [5.7%] Processed:5,400/95,000 | Valid:5,400 | Sealed:0 | Errors:0 | DB:5,400
2026-04-28 14:27:42,586 [INFO] [5.8%] Processed:5,550/95,000 | Valid:5,550 | Sealed:0 | Errors:0 | DB:5,550
2026-04-28 14:29:17,522 [INFO] [5.9%] Processed:5,600/95,000 | Valid:5,600 | Sealed:0 | Errors:0 | DB:5,600
2026-04-28 14:35:56,885 [INFO] [6.1%] Processed:5,800/95,000 | Valid:5,800 | Sealed:0 | Errors:0 | DB:5,800
2026-04-28 14:42:34,286 [INFO] [6.3%] Processed:6,000/95,000 | Valid:6,000 | Sealed:0 | Errors:0 | DB:6,000
2026-04-28 14:44:10,986 [INFO] [6.4%] Processed:6,050/95,000 | Valid:6,050 | Sealed:0 | Errors:0 | DB:6,050
2026-04-28 14:49:06,342 [INFO] [6.5%] Processed:6,200/95,000 | Valid:6,200 | Sealed:0 | Errors:0 | DB:6,200
2026-04-28 14:55:47,553 [INFO] [6.7%] Processed:6,400/95,000 | Valid:6,400 | Sealed:0 | Errors:0 | DB:6,400
2026-04-28 15:00:39,805 [INFO] [6.9%] Processed:6,550/95,000 | Valid:6,550 | Sealed:0 | Errors:0 | DB:6,550
2026-04-28 15:02:20,155 [INFO] [6.9%] Processed:6,600/95,000 | Valid:6,600 | Sealed:0 | Errors:0 | DB:6,600
2026-04-28 15:08:54,280 [INFO] [7.2%] Processed:6,800/95,000 | Valid:6,800 | Sealed:0 | Errors:0 | DB:6,800
2026-04-28 15:15:31,993 [INFO] [7.4%] Processed:7,000/95,000 | Valid:7,000 | Sealed:0 | Errors:0 | DB:7,000
2026-04-28 15:17:08,956 [INFO] [7.4%] Processed:7,050/95,000 | Valid:7,050 | Sealed:0 | Errors:0 | DB:7,050
2026-04-28 15:22:00,426 [INFO] [7.6%] Processed:7,200/95,000 | Valid:7,200 | Sealed:0 | Errors:0 | DB:7,200
2026-04-28 15:28:33,267 [INFO] [7.8%] Processed:7,400/95,000 | Valid:7,400 | Sealed:0 | Errors:0 | DB:7,400
2026-04-28 15:33:37,297 [INFO] [7.9%] Processed:7,550/95,000 | Valid:7,550 | Sealed:0 | Errors:0 | DB:7,550
2026-04-28 15:35:17,107 [INFO] [8.0%] Processed:7,600/95,000 | Valid:7,600 | Sealed:0 | Errors:0 | DB:7,600
2026-04-28 15:41:57,557 [INFO] [8.2%] Processed:7,800/95,000 | Valid:7,800 | Sealed:0 | Errors:0 | DB:7,800
2026-04-28 15:48:41,711 [INFO] [8.4%] Processed:8,000/95,000 | Valid:8,000 | Sealed:0 | Errors:0 | DB:8,000
2026-04-28 15:50:23,124 [INFO] [8.5%] Processed:8,050/95,000 | Valid:8,050 | Sealed:0 | Errors:0 | DB:8,050
2026-04-28 15:55:30,114 [INFO] [8.6%] Processed:8,200/95,000 | Valid:8,200 | Sealed:0 | Errors:0 | DB:8,200
2026-04-28 16:02:14,504 [INFO] [8.8%] Processed:8,400/95,000 | Valid:8,400 | Sealed:0 | Errors:0 | DB:8,400
2026-04-28 16:07:15,439 [INFO] [9.0%] Processed:8,550/95,000 | Valid:8,550 | Sealed:0 | Errors:0 | DB:8,550
2026-04-28 16:08:52,287 [INFO] [9.1%] Processed:8,600/95,000 | Valid:8,600 | Sealed:0 | Errors:0 | DB:8,600
2026-04-28 16:15:25,197 [INFO] [9.3%] Processed:8,800/95,000 | Valid:8,800 | Sealed:0 | Errors:0 | DB:8,800
2026-04-28 16:21:56,318 [INFO] [9.5%] Processed:9,000/95,000 | Valid:9,000 | Sealed:0 | Errors:0 | DB:9,000
2026-04-28 16:23:38,621 [INFO] [9.5%] Processed:9,050/95,000 | Valid:9,050 | Sealed:0 | Errors:0 | DB:9,050
2026-04-28 16:28:38,658 [INFO] [9.7%] Processed:9,200/95,000 | Valid:9,200 | Sealed:0 | Errors:0 | DB:9,200
2026-04-28 16:35:12,597 [INFO] [9.9%] Processed:9,400/95,000 | Valid:9,400 | Sealed:0 | Errors:0 | DB:9,400
2026-04-28 16:40:02,220 [INFO] [10.1%] Processed:9,550/95,000 | Valid:9,550 | Sealed:0 | Errors:0 | DB:9,550
2026-04-28 16:41:44,293 [INFO] [10.1%] Processed:9,600/95,000 | Valid:9,600 | Sealed:0 | Errors:0 | DB:9,600
2026-04-28 16:48:27,718 [INFO] [10.3%] Processed:9,800/95,000 | Valid:9,800 | Sealed:0 | Errors:0 | DB:9,800
2026-04-28 16:55:00,458 [INFO] [10.5%] Processed:10,000/95,000 | Valid:10,000 | Sealed:0 | Errors:0 | DB:10,000
2026-04-28 16:56:44,410 [INFO] [10.6%] Processed:10,050/95,000 | Valid:10,050 | Sealed:0 | Errors:0 | DB:10,050
2026-04-28 17:01:48,460 [INFO] [10.7%] Processed:10,200/95,000 | Valid:10,200 | Sealed:0 | Errors:0 | DB:10,200
2026-04-28 17:08:38,420 [INFO] [10.9%] Processed:10,400/95,000 | Valid:10,400 | Sealed:0 | Errors:0 | DB:10,400
2026-04-28 17:13:56,789 [INFO] [11.1%] Processed:10,550/95,000 | Valid:10,550 | Sealed:0 | Errors:0 | DB:10,550
2026-04-28 17:15:49,167 [INFO] [11.2%] Processed:10,600/95,000 | Valid:10,600 | Sealed:0 | Errors:0 | DB:10,600
2026-04-28 17:22:49,992 [INFO] [11.4%] Processed:10,800/95,000 | Valid:10,774 | Sealed:0 | Errors:26 | DB:10,774
2026-04-28 17:30:01,917 [INFO] [11.6%] Processed:11,000/95,000 | Valid:10,974 | Sealed:0 | Errors:26 | DB:10,974
2026-04-28 17:31:47,620 [INFO] [11.6%] Processed:11,050/95,000 | Valid:11,024 | Sealed:0 | Errors:26 | DB:11,024
2026-04-28 17:34:58,467 [INFO] Stopped. Run again to resume from last CRN.
2026-04-28 17:34:58,468 [INFO] ============================================================
2026-04-28 17:34:58,469 [INFO] DONE. Valid:11,122 | Sealed:0 | Errors:26
2026-04-28 17:34:58,469 [INFO] Total in DB: 11,122
2026-04-28 17:34:58,469 [INFO] Next: python phase3_build_excel.py
2026-04-28 17:38:57,551 [INFO] ============================================================
2026-04-28 17:38:57,575 [INFO] COMBINED SCRAPER — CRN 11,149 to 96,470
2026-04-28 17:38:57,575 [INFO] Range: 85,322 | Workers: 5 | ETA: 6.2h
2026-04-28 17:38:57,577 [INFO] Ctrl+C anytime — auto-resume dari CRN terakhir
2026-04-28 17:38:57,577 [INFO] ============================================================
2026-04-28 17:40:08,060 [INFO] [0.1%] Processed:50/85,322 | Valid:50 | Sealed:0 | Errors:0 | DB:11,172
